"ID","Name","Solubility","SMILES Canonical","Smiles (Optimized Geometry)","Energy","Smiles","SlogP","TPSA","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumAmideBonds","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumStereocenters","NumRings","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","FractionCSP3"
"A-22","5-methoxy-1-[4-(trifluoromethyl)phenyl]pentan-1-one",-3.5440597008,"COCCCCC(=O)c1ccc(C(F)(F)F)cc1","COCCCCC(=O)c1ccc(C(F)(F)F)cc1",23.462503937630242,"COCCCCC(=O)c1ccc(C(F)(F)F)cc1",3.7048000000000023,26.3,260.10241438,2,0,6,0,2,0,5,18,33,0,1,1,0,0,0,0,0,1,0,0,0.46153846153846156
"A-23","(2E)-3,7-dimethylocta-2,6-dien-1-ol",-2.3206011661,"CC(C)=CCCC(C)=CCO","CC(C)=CCCC(C)=CCO",14.584645946646893,"CC(=CCCC(=CCO)C)C",2.6714000000000016,20.23,154.135765196,1,1,4,1,1,0,1,11,29,0,0,0,0,0,0,0,0,0,0,0,0.6
"A-27","oxiran-2-ylmethyl 2,2-dimethyloctanoate",-3.5134687407,"CCC(C)(CCC(C)C)C(=O)OCC1CO1","CCC(C)(CCC(C)C)C(=O)OCC1CO1",-0.9195039788651105,"CCC(C)(CCC(C)C)C(=O)OCC1CO1",2.780900000000001,38.83,228.172544628,3,0,7,0,3,0,3,16,40,2,1,0,1,1,0,1,1,0,0,0,0.9230769230769231
"A-28","2-methylheptyl 3-sulfanylpropanoate",-4.4543816995,"CC(C)CCCCCOC(=O)CCS","CC(C)CCCCCOC(=O)CCS",-18.49591254124664,"CC(C)CCCCCOC(=O)CCS",3.0659000000000023,26.3,218.134050944,2,0,8,1,3,0,3,14,36,0,0,0,0,0,0,0,0,0,0,0,0.9090909090909091
"A-29","1-methyl-4-(propan-2-ylidene)cyclohex-1-ene",-4.2873429345,"CC1=CCC(=C(C)C)CC1","CC1=CCC(=C(C)C)CC1",24.32767872952916,"CC1=CCC(=C(C)C)CC1",3.453000000000002,0,136.125200512,0,0,0,0,0,0,0,10,26,0,1,0,0,1,0,0,0,0,0,1,0.6
"A-32","3-[2-(ethylamino)-1-hydroxyethyl]phenol",-3.4541026398,"CC[NH2+]CC(O)c1cccc(O)c1","CC[NH2+]CC(O)c1cccc(O)c1",14.133640889746575,"CC[NH2+]CC(O)c1cccc(O)c1",0.008900000000000075,57.07000000000001,182.11755517209,3,4,4,3,2,0,3,13,29,1,1,1,0,0,0,0,0,1,0,0,0.4
"A-36","(1S,5S)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane",-4.2923134549,"C=C1CCC2CC1C2(C)C","C=C1CCC2CC1C2(C)C",17.47723701556164,"C=C1CCC2CC1C2(C)C",2.9987000000000013,0,136.125200512,0,0,0,0,0,0,0,10,26,2,3,0,3,3,0,0,0,0,3,3,0.8
"A-39","dodecyl 2-hydroxypropanoate",-4.6341446203,"CCCCCCCCCCCCOC(=O)C(C)O","CCCCCCCCCCCCOC(=O)C(C)O",12.913779656896912,"CCCCCCCCCCCCOC(=O)C(C)O",3.831300000000003,46.53,258.21949482,3,1,12,1,3,0,3,18,48,1,0,0,0,0,0,0,0,0,0,0,0.9333333333333333
"A-47","2-phenoxyethyl prop-2-enoate",-2.5636257131,"C=CC(=O)OCCOc1ccccc1","C=CC(=O)OCCOc1ccccc1",17.14398076895091,"C=CC(=O)OCCOc1ccccc1",1.7946,35.53,192.078644244,3,0,5,0,3,0,3,14,26,0,1,1,0,0,0,0,0,1,0,0,0.18181818181818182
"A-49","undec-10-enoic acid",-3.5528261452,"C=CCCCCCCCCC(=O)[O-]","C=CCCCCCCCCC(=O)[O-]",1.7602563621412823,"C=CCCCCCCCCC(=O)[O-]",2.0430999999999995,40.129999999999995,183.13905342791,2,0,9,0,2,0,2,13,32,0,0,0,0,0,0,0,0,0,0,0,0.7272727272727273
"A-50","carboxymethyldimethyl-3-[[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)sulphonyl]amino]propylammonium hydroxide",-4.0571851475,"C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-]","C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-]",29.473277456529075,"C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-]",2.2511,86.3,570.085794948,6,1,14,1,4,0,20,35,54,0,0,0,0,0,0,0,0,0,0,0,0.9333333333333333
"A-51","2-benzyl-2-(dimethylamino)-1-[4-(morpholin-4-yl)phenyl]butan-1-one",-4.7932278922,"CCC(Cc1ccccc1)(C(=O)c1ccc(N2CCOCC2)cc1)[NH+](C)C","CCC(Cc1ccccc1)(C(=O)c1ccc(N2CCOCC2)cc1)[NH+](C)C",134.26933955306083,"CCC(Cc1ccccc1)(C(=O)c1ccc(N2CCOCC2)cc1)[NH+](C)C",2.2419000000000002,33.980000000000004,367.23800465209007,4,1,7,1,3,0,4,27,58,1,3,2,1,1,0,1,1,2,0,0,0.43478260869565216
"A-53","4-(4,6-dimethylheptan-2-yl)phenol; 4-(5,6-dimethylheptan-2-yl)phenol; 4-(5,6-dimethylheptyl)phenol; 4-(7-methyloctyl)phenol",-4.5872500246,"CC(C)CCCCCCc1ccc(O)cc1","CC(C)CCCCCCc1ccc(O)cc1",17.12460045785855,"CC(C)CCCCCCc1ccc(O)cc1",4.541200000000005,20.23,220.182715388,1,1,7,1,1,0,1,16,40,0,1,1,0,0,0,0,0,1,0,0,0.6
"A-54","1,3-bis(prop-1-en-2-yl)benzene",-4.4511392252,"C=C(C)c1cccc(C(=C)C)c1","C=C(C)c1cccc(C(=C)C)c1",24.28090595748122,"C=C(C)c1cccc(C(=C)C)c1",3.7528000000000032,0,158.109550448,0,0,2,0,0,0,0,12,26,0,1,1,0,0,0,0,0,1,0,0,0.16666666666666666
"A-56","ethenyl 2,2-dimethyloctanoate",-4.5813325109,"C=COC(=O)CCCCCC(C)(C)C","C=COC(=O)CCCCCC(C)(C)C",4.8699448661309646,"C=COC(=O)CCCCCC(C)(C)C",3.6697000000000024,26.3,198.161979944,2,0,6,0,2,0,2,14,36,0,0,0,0,0,0,0,0,0,0,0,0.75
"A-58","1-tert-butyl-4-methylbenzene",-4.4720217682,"Cc1ccc(C(C)(C)C)cc1","Cc1ccc(C(C)(C)C)cc1",19.295319099211767,"Cc1ccc(C(C)(C)C)cc1",3.2925200000000014,0,148.125200512,0,0,0,0,0,0,0,11,27,0,1,1,0,0,0,0,0,1,0,0,0.45454545454545453
"A-61","cyclohexanecarboxylic acid",-1.445031941,"O=C([O-])C1CCCCC1","O=C([O-])C1CCCCC1",14.107239248818843,"O=C([O-])C1CCCCC1",0.31659999999999955,40.129999999999995,127.07645317191,2,0,1,0,2,0,2,9,20,0,1,0,1,1,0,0,0,0,1,1,0.8571428571428571
"A-63","N,N'-bis(3-phenylprop-2-en-1-ylidene)hexane-1,6-diamine",-3.8937390711,"C(=Cc1ccccc1)C=NCCCCCCN=CC=Cc1ccccc1","C(=Cc1ccccc1)C=NCCCCCCN=CC=Cc1ccccc1",46.418434399789184,"C(=Cc1ccccc1)C=NCCCCCCN=CC=Cc1ccccc1",6.115200000000006,24.72,344.225248896,2,0,11,0,2,0,2,26,54,0,2,2,0,0,0,0,0,2,0,0,0.25
"A-65","2-(benzotriazol-2-yl)-6-[[3-(benzotriazol-2-yl)-2-hydroxy-5-(2,4,4-trimethylpentan-2-yl)phenyl]methyl]-4-(2,4,4-trimethylpentan-2-yl)phenol",-7.9737155354,"CC(C)(C)CC(C)(C)c1cc(Cc2cc(C(C)(C)CC(C)(C)C)cc(-n3nc4ccccc4n3)c2O)c(O)c(-n2nc3ccccc3n2)c1","CC(C)(C)CC(C)(C)c1cc(Cc2cc(C(C)(C)CC(C)(C)C)cc(-n3nc4ccccc4n3)c2O)c(O)c(-n2nc3ccccc3n2)c1",115.8132670058158,"CC(C)(C)CC(C)(C)c1cc(Cc2cc(C(C)(C)CC(C)(C)C)cc(n3nc4ccccc4n3)c2O)c(O)c(n2nc3ccccc3n2)c1",9.583999999999996,101.88,658.3995248400001,8,2,8,2,8,0,8,49,99,0,6,6,0,0,2,0,0,4,0,0,0.4146341463414634
"A-69","2-(morpholin-4-ylsulfanyl)-1,3-benzothiazole",-3.8109627954,"c1ccc2sc(SN3CCOCC3)nc2c1","c1ccc2sc(SN3CCOCC3)nc2c1",78.4202581101858,"c1ccc2sc(SN3CCOCC3)nc2c1",2.6356,25.36,252.039105004,3,0,2,0,5,0,5,16,28,0,3,2,1,1,1,1,1,1,0,0,0.36363636363636365
"A-73","S-ethyl dipropylthiocarbamate",-2.7031744039,"CCCN(CCC)C(=O)SCC","CCCN(CCC)C(=O)SCC",-45.519888431226164,"CCCN(CCC)C(=O)SCC",2.9815000000000014,20.310000000000002,189.118735228,2,0,5,0,2,1,3,12,31,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888
"A-74","2-[({4-[(oxiran-2-ylmethoxy)methyl]cyclohexyl}methoxy)methyl]oxirane",-1.8357972344,"C1CC(COCC2CO2)CCC1COCC1CO1","C1CC(COCC2CO2)CCC1COCC1CO1",19.676224490547874,"C1CC(COCC2CO2)CCC1COCC1CO1",1.6236,43.519999999999996,256.167459248,4,0,8,0,4,0,4,18,42,2,3,0,3,3,0,2,2,0,1,1,1
"A-79","ethenyl benzoate",-2.6229591952,"C=COC(=O)c1ccccc1","C=COC(=O)c1ccccc1",21.437981780344465,"C=COC(=O)c1ccccc1",1.9868999999999999,26.3,148.052429496,2,0,2,0,2,0,2,11,19,0,1,1,0,0,0,0,0,1,0,0,0
"A-80","methyl 4-tert-butylbenzoate",-3.7398163758,"COC(=O)c1ccc(C(C)(C)C)cc1","COC(=O)c1ccc(C(C)(C)C)cc1",15.188244300436589,"COC(=O)c1ccc(C(C)(C)C)cc1",2.7707000000000015,26.3,192.115029752,2,0,1,0,2,0,2,14,30,0,1,1,0,0,0,0,0,1,0,0,0.4166666666666667
"A-81","2,2-dimethyl-3-(3-methylphenyl)propan-1-ol",-2.8265354685,"Cc1cccc(CC(C)(C)CO)c1","Cc1cccc(CC(C)(C)CO)c1",18.07977865921087,"Cc1cccc(CC(C)(C)CO)c1",2.556020000000001,20.23,178.135765196,1,1,3,1,1,0,1,13,31,0,1,1,0,0,0,0,0,1,0,0,0.5
"A-83","(2E)-3,7-dimethylocta-2,6-dien-1-yl acetate",-3.7549532157,"CC(=O)OCC=C(C)CCC=C(C)C","CC(=O)OCC=C(C)CCC=C(C)C",-5.2128138304072635,"CC(=O)OCC=C(C)CCC=C(C)C",3.242200000000002,26.3,196.14632988,2,0,5,0,2,0,2,14,34,0,0,0,0,0,0,0,0,0,0,0,0.5833333333333334
"A-86","2-{6,6-dimethylbicyclo[3.1.1]hept-2-en-2-yl}ethan-1-ol",-2.6959998037,"CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2","CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2",27.077995393121377,"CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2",2.3612,20.23,166.135765196,1,1,2,1,1,0,1,12,30,2,3,0,1,3,0,0,0,0,1,3,0.8181818181818182
"A-89","3,3,5-trimethylcyclohexanone",-1.6471414632,"CC1CC(=O)CC(C)(C)C1","CC1CC(=O)CC(C)(C)C1",12.613612001107006,"CC1CC(=O)CC(C)(C)C1",2.401700000000001,17.07,140.120115132,1,0,0,0,1,0,1,10,26,1,1,0,1,1,0,0,0,0,1,1,0.8888888888888888
"A-91","2-(2-phenylphenoxy)ethyl prop-2-enoate",-3.9515188418,"C=CC(=O)OCCOc1ccccc1-c1ccccc1","C=CC(=O)OCCOc1ccccc1-c1ccccc1",41.383082134504065,"C=CC(=O)OCCOc1ccccc1c1ccccc1",3.4616000000000016,35.53,268.10994437200003,3,0,6,0,3,0,3,20,36,0,2,2,0,0,0,0,0,2,0,0,0.11764705882352941
"A-94","3-[(3-sulfanylpropanoyl)oxy]-2,2-bis({[(3-sulfanylpropanoyl)oxy]methyl})propyl 3-sulfanylpropanoate",-5.1231687481,"O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS","O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS",-93.68286305806207,"O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS",1.4251999999999998,105.20000000000002,488.0667018559999,8,0,16,4,12,0,12,29,57,0,0,0,0,0,0,0,0,0,0,0,0.7647058823529411
"A-100","4-[2-(4-hydroxy-3,5-dimethylphenyl)propan-2-yl]-2,6-dimethylphenol",-4.9528688028,"Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O","Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O",31.510647375609594,"Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O",4.657380000000004,40.46,284.177630008,2,2,2,2,2,0,2,21,45,0,2,2,0,0,0,0,0,2,0,0,0.3684210526315789
"A-106","ethyl 3,5,5-trimethylhexanoate",-3.8230431676,"CCOC(=O)CC(C)CC(C)(C)C","CCOC(=O)CC(C)CC(C)(C)C",-6.785654238326944,"CCOC(=O)CC(C)CC(C)(C)C",3.0119000000000016,26.3,186.161979944,2,0,4,0,2,0,2,13,35,1,0,0,0,0,0,0,0,0,0,0,0.9090909090909091
"A-111","5-Ethyl-2-methylpyridine",-1.0042604536,"CCc1ccc(C)nc1","CCc1ccc(C)nc1",11.069292637059572,"CCc1ccc(C)nc1",1.9524199999999998,12.89,121.08914935199999,1,0,1,0,1,0,1,9,20,0,1,1,0,0,1,0,0,0,0,0,0.375
"A-114","Prednisolone",-3.1784471289,"C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO","C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO",86.56554170605281,"C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO",1.5575999999999999,94.83,360.1936739959999,5,3,2,3,5,0,5,26,54,7,4,0,3,4,0,0,0,0,3,4,0.7142857142857143
"A-117","2-phenoxyethyl 2-methylprop-2-enoate",-2.9526471698,"C=C(C)C(=O)OCCOc1ccccc1","C=C(C)C(=O)OCCOc1ccccc1",9.722759920885279,"C=C(C)C(=O)OCCOc1ccccc1",2.1847000000000003,35.53,206.094294308,3,0,5,0,3,0,3,15,29,0,1,1,0,0,0,0,0,1,0,0,0.25
"A-118","5-{[2-(2-butoxyethoxy)ethoxy]methyl}-6-propyl-2H-1,3-benzodioxole",-4.1510889183,"CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2","CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2",49.39208535250225,"CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2",3.7177000000000024,46.150000000000006,338.2093240599999,5,0,13,0,5,0,5,24,54,0,2,1,0,1,0,0,1,1,0,0,0.6842105263157895
"A-122","(2-phenoxyethoxy)benzene",-3.9885265275,"c1ccc(OCCOc2ccccc2)cc1","c1ccc(OCCOc2ccccc2)cc1",47.84794477068131,"c1ccc(OCCOc2ccccc2)cc1",3.144400000000002,18.46,214.099379688,2,0,5,0,2,0,2,16,30,0,2,2,0,0,0,0,0,2,0,0,0.14285714285714285
"A-125","2-propylpentanoic acid",-1.8579774272,"CCCC(CCC)C(=O)[O-]","CCCC(CCC)C(=O)[O-]",10.271324345962704,"CCCC(CCC)C(=O)[O-]",0.9526999999999999,40.129999999999995,143.10775329991,2,0,5,0,2,0,2,10,25,0,0,0,0,0,0,0,0,0,0,0,0.875
"A-129","3-[(2E)-oct-2-en-1-yl]oxolane-2,5-dione; 3-[(2Z)-oct-2-en-1-yl]oxolane-2,5-dione",-4.0217535152,"CCCCCCC=CC1CC(=O)OC1=O","CCCCCCC=CC1CC(=O)OC1=O",-23.94514050644766,"CCCCCCC=CC1CC(=O)OC1=O",2.6027000000000005,43.370000000000005,210.125594436,3,0,6,0,3,0,3,15,33,1,1,0,1,1,0,1,1,0,0,0,0.6666666666666666
"A-141","2H-chromen-2-one",-1.8860303607,"O=c1ccc2ccccc2o1","O=C1C=Cc2ccccc2O1",32.1934858550322,"O=c1ccc2ccccc2o1",1.6188,26.3,146.036779432,2,0,0,0,2,0,2,11,17,0,2,1,0,1,0,0,1,1,0,0,0
"A-142","1-methyl-4-(prop-1-en-2-yl)cyclohex-1-ene",-3.8464965295,"C=C(C)C1CC=C(C)CC1","C=C(C)C1CC=C(C)CC1",10.439596859672225,"C=C(C)C1CC=C(C)CC1",3.308900000000002,0,136.125200512,0,0,1,0,0,0,0,10,26,1,1,0,0,1,0,0,0,0,0,1,0.6
"A-148","2-methyl-1-phenylpropan-2-yl butanoate",-4.1359426126,"CCCC(=O)OC(C)(C)Cc1ccccc1","CCCC(=O)OC(C)(C)Cc1ccccc1",13.732643162369811,"CCCC(=O)OC(C)(C)Cc1ccccc1",3.3510000000000018,26.3,220.14632988,2,0,5,0,2,0,2,16,36,0,1,1,0,0,0,0,0,1,0,0,0.5
"A-153","1-[(1-propoxypropan-2-yl)oxy]propan-2-ol",-0.0700526508,"CCCOCC(C)OCC(C)O","CCCOCC(C)OCC(C)O",36.23549379261612,"CCCOCC(C)OCC(C)O",1.1988999999999999,38.69,176.1412445,3,1,7,1,3,0,3,12,32,2,0,0,0,0,0,0,0,0,0,0,1
"A-156","5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane",-4.1708247593,"CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1","CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1",-1.9434946407449196,"CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1",2.2430000000000003,58.86,222.136827816,4,0,3,0,4,0,4,16,34,2,1,0,1,1,0,0,0,0,1,1,0.8333333333333334
"A-167","diphenyl carbonate",-4.2169166627,"O=C(Oc1ccccc1)Oc1ccccc1","O=C(Oc1ccccc1)Oc1ccccc1",42.44553786534104,"O=C(Oc1ccccc1)Oc1ccccc1",3.264400000000002,35.53,214.06299418,3,0,2,0,3,0,3,16,26,0,2,2,0,0,0,0,0,2,0,0,0
"A-168","vinyl 2-ethylhexanoate",-4.1519109764,"C=COC(=O)C(CC)CCCC","C=COC(=O)C(CC)CCCC",4.1051356247666675,"C=COC(=O)C(CC)CCCC",2.8895000000000017,26.3,170.130679816,2,0,6,0,2,0,2,12,30,1,0,0,0,0,0,0,0,0,0,0,0.7
"A-169","2-methyl-N-[(2-methylprop-2-enamido)methyl]prop-2-enamide",-1.1892367555,"C=C(C)C(=O)NCNC(=O)C(=C)C","C=C(C)C(=O)NCNC(=O)C(=C)C",-62.70858819027204,"C=C(C)C(=O)NCNC(=O)C(=C)C",0.32850000000000007,58.2,182.105527688,4,2,4,2,2,2,4,13,27,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333
"A-170","(1Z,5Z)-cycloocta-1,5-diene",-2.9659771733,"C1=CCCC=CCC1","C1=CCCC=CCC1",11.522553029773306,"C1=CCCC=CCC1",2.6728000000000014,0,108.093900384,0,0,0,0,0,0,0,8,20,0,1,0,0,1,0,0,0,0,0,1,0.5
"A-176","1,2-dibutyl benzene-1,2-dicarboxylate",-4.3876832538,"CCCCOC(=O)c1ccccc1C(=O)OCCCC","CCCCOC(=O)c1ccccc1C(=O)OCCCC",-9.387548717431605,"CCCCOC(=O)c1ccccc1C(=O)OCCCC",3.600400000000003,52.60000000000001,278.151809184,4,0,8,0,4,0,4,20,42,0,1,1,0,0,0,0,0,1,0,0,0.5
"A-178","4-benzoylbenzene-1,2,3-triol",-3.3451078238,"O=C(c1ccccc1)c1ccc(O)c(O)c1O","O=C(c1ccccc1)c1ccc(O)c(O)c1O",43.7728597768195,"O=C(c1ccccc1)c1ccc(O)c(O)c1O",2.034400000000001,77.76,230.0579088,4,3,2,3,4,0,4,17,27,0,2,2,0,0,0,0,0,2,0,0,0
"A-182","3-[(2E)-dodec-2-en-1-yl]oxolane-2,5-dione; 3-[(2Z)-dodec-2-en-1-yl]oxolane-2,5-dione",-4.4255032449,"CCCCCCCCCC=CCC1CC(=O)OC1=O","CCCCCCCCCC=CCC1CC(=O)OC1=O",-38.917799219885566,"CCCCCCCCCC=CCC1CC(=O)OC1=O",4.163100000000004,43.370000000000005,266.188194692,3,0,10,0,3,0,3,19,45,1,1,0,1,1,0,1,1,0,0,0,0.75
"A-183","dihydro-3-(tetrapropenyl)furan-2,5-dione",-4.4255032449,"CC(=CC(C)CC(C)CC(C)C)C1CC(=O)OC1=O","CC(=CC(C)CC(C)CC(C)C)C1CC(=O)OC1=O",-9.6188737799662,"CC(=CC(C)CC(C)CC(C)C)C1CC(=O)OC1=O",3.730800000000002,43.370000000000005,266.188194692,3,0,6,0,3,0,3,19,45,3,1,0,1,1,0,1,1,0,0,0,0.75
"A-188","4-(decanoyloxy)benzoic acid",-5.4245475497,"CCCCCCCCCC(=O)Oc1ccc(C(=O)[O-])cc1","CCCCCCCCCC(=O)Oc1ccc(C(=O)[O-])cc1",28.647881422690894,"CCCCCCCCCC(=O)Oc1ccc(C(=O)[O-])cc1",3.0962000000000014,66.43,291.16018279591003,4,0,10,0,4,0,4,21,44,0,1,1,0,0,0,0,0,1,0,0,0.5294117647058824
"A-191","3-methylbutyl (2E)-3-(4-methoxyphenyl)prop-2-enoate",-5.4919252104,"COc1ccc(C=CC(=O)OCCC(C)C)cc1","COc1ccc(C=CC(=O)OCCC(C)C)cc1",22.859145173648248,"COc1ccc(C=CC(=O)OCCC(C)C)cc1",3.2977000000000025,35.53,248.1412445,3,0,6,0,3,0,3,18,38,0,1,1,0,0,0,0,0,1,0,0,0.4
"A-192","2-(hexadecanoylamino)acetic acid",-5.5931226219,"CCCCCCCCCCCCCCCC(=O)NCC(=O)[O-]","CCCCCCCCCCCCCCCC(=O)NCC(=O)[O-]",27.69061465401044,"CCCCCCCCCCCCCCCC(=O)NCC(=O)[O-]",3.333800000000001,69.23,312.25441752790994,4,1,16,1,3,1,4,22,56,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888
